feature,mean_abs_shap
lat,0.47452405
sqft_living,0.17683122
grade,0.10648865
long,0.075643666
quality_grade_condition,0.072204486
sqft_living15,0.06219015
sqft_above,0.054557476
sqft_living_log,0.04871771
year,0.04668302
sqft_lot,0.035958346
view,0.035919547
zipcode,0.035644665
yr_built,0.03458115
ndbi_mean_500m,0.031433914
sqft_per_lot,0.026941769
quality_score,0.02597743
property_age,0.025587374
ndvi_max_500m,0.021068107
bedrooms_per_bathroom,0.02003149
ndwi_mean_500m,0.018450359
ndwi_max_500m,0.015687516
sqft_lot15,0.015601238
month,0.014375464
sqft_lot_log,0.012688995
bathrooms,0.012110906
yr_renovated,0.010472053
total_rooms,0.009861453
ndvi_mean_500m,0.008032452
floors,0.007689614
waterfront,0.0052720616
season,0.0031755986
years_since_renovation,0.0012410271
was_renovated,0.0006421076
